[!#1]:[#6]-[#7],stretch,1266,1342,s,UNK,UNK,ISAT,principal,C-N,Aromatic amine,
[!#1]:[#6][#1],bend,680,900,s,UNK,UNK,spectables,principal,C-H,Aromatic,
[!#1]:[#6][#1],stretch2,1450,1600,m-s,UNK,UNK,05 IR chart,principal,ring C=C,"Aromatic, potential stretch 2 duplicate",
[!#1]:[#6][#1],stretch,1440,1625,w-m,UNK,UNK,spectables,principal,C=C,Aromatic,
[!#1]:[#6][#1],bend_overtone,1650,2000,w,UNK,UNK,ISAT,principal,C-H,Aromatic,
[!#1]:[#6][#1],stretch3,3010,3100,m,UNK,UNK,05 IR chart,principal,C-H,Aromatic,
[!#1]:[#6][#1],stretch3,3000,3100,w-m,UNK,UNK,spectables,principal,C-H,"Aromatic, potential stretch 2 duplicate",
[!#1]C([!#1])=C([!#1])[!#1],stretch,1665,1675,w,UNK,UNK,ISAT,principal,C=C,Alkene,
[!#1]C(=O)C([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [!#1]C(=O)C([H])=C([H])[!#1],C=C,,
[!#1]C(=O)C([H])=C([H])[!#1],stretch,1675,1675,s,UNK,UNK,ir.pdf,principal,C=C,Aldehyde & Ketone,
[!#1]C(=O)C([H])=C([H])[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [!#1]C(=O)C([H])=C([H])[!#1],C=C,,
[!#1]C(=O)C([H])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [!#1]C(=O)C([H])=C([H])[!#1],C=C,,
[!#1]C#C[!#1],stretch,2190,2260,w,UNK,UNK,ISAT/05 IR Chart,principal,C_C,alkynes,
[!#1]N([!#1])C(=O)C,stretch,1630,1630,m-s,UNK,UNK,ISAT/05 IR Chart,principal,C=O,associated amide,
[!#1]N([!#1])C(=O)C,stretch,1680,1680,m-s,UNK,UNK,ISAT/05 IR Chart,principal,C=O,free amide,
[!#1]N(=O)=O,astretch,1370,1370,s,UNK,UNK,05 IR chart,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,astretch,1290,1372,s,UNK,UNK,ISAT,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,astretch,1320,1380,s,UNK,UNK,ir.pdf,principal,NO2,"Nitro Compounds, claims this is symmetric stretch",
[!#1]N(=O)=O,astretch,1300,1390,s,UNK,UNK,spectables,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,sstretch,1500,1550,s,UNK,UNK,ISAT,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,sstretch,1550,1550,s,UNK,UNK,05 IR chart,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,sstretch,1490,1570,s,UNK,UNK,spectables,principal,NO2,Nitro Compounds,
[!#1]N(=O)=O,sstretch,1510,1580,s,UNK,UNK,ir.pdf,principal,NO2,"Nitro Compounds, claims this is assymmetric stretch",
[!#1]N=[N+]=[N-],stretch,2100,2270,m,UNK,UNK,ir.pdf,principal,0,azides,
[!#1]N=C=N[!#1],stretch,2100,2270,m,UNK,UNK,ir.pdf,principal,-N=C=N-,diimides,
[!#1]N=C=O,stretch,2100,2270,m,UNK,UNK,ir.pdf,principal,-N=C=O,isocyanate,
[!#1]N=C=S,stretch,2100,2270,m,UNK,UNK,ir.pdf,principal,-N=C=S,isothiocyanate,
[!#1]N=O,stretch,1510,1600,s,UNK,UNK,ir.pdf,principal,N=O,nitroso (dubious entry),
[H]\C([!#1])=C(/[H])[!#1],bend,675,730,m,UNK,UNK,ir.pdf,principal,RCH=CHR,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],bend,665,730,M-s,UNK,broad,05 IR chart,principal,RCH=CHR,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],bend,665,730,s,UNK,UNK,ISAT,principal,RCH=CHR,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],bend,680,730,s,UNK,UNK,ir.pdf,principal,RCH=CHR,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],stretch,1658,1658,m,UNK,UNK,ir.pdf,principal,C=C,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],stretch,1626,1662,m,UNK,UNK,ISAT,principal,C=C,Alkenes,
[H]\C([!#1])=C(/[H])[!#1],stretch2,3010,3040,m,UNK,sharp,ir.pdf,principal,=C-H,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],bend2,960,970,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],bend2,960,980,s,UNK,UNK,05 IR chart,principal,=C-H,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],bend2,960,980,s,UNK,UNK,ISAT,principal,=C-H,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],bend,1295,1310,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],stretch,1675,1675,m,UNK,UNK,ir.pdf,principal,C=C,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],stretch,1668,1678,w,UNK,UNK,ISAT,principal,C=C,Alkenes,
[H]\C([!#1])=C(\[H])[!#1],stretch2,3010,3040,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend,790,840,m,UNK,UNK,ISAT,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend,790,840,s,UNK,UNK,05 IR chart,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend,790,840,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend2,780,850,m,UNK,UNK,ir.pdf,principal,=C-H/=C-H2(?),Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend3,880,995,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],bend4,685,995,s,UNK,UNK,spectables,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch,1670,1670,m,UNK,UNK,ir.pdf,principal,C=C,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch,1665,1675,w,UNK,UNK,ISAT,principal,C=C,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch2,3010,3040,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch2,3000,3100,m,UNK,UNK,spectables,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch2,3020,3100,m,UNK,sharp,ir.pdf,principal,=C-H,Alkenes,
[H]C([!#1])=C([!#1])[!#1],stretch2,3020,3140,w-m,UNK,UNK,05 IR chart,principal,=C-H,Alkenes,
[H]C([!#1])=C([H])[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([!#1])=C([!#1])[!#1],UNK,UNK,
[H]C([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([!#1])=C([!#1])[!#1],UNK,UNK,
[H]C([H])([!#1])[!#1],bend,720,725,w,UNK,UNK,ir.pdf,principal,CH2,Alkenes,
[H]C([H])([!#1])[!#1],stretch,2850,3000,s,UNK,UNK,ir.pdf,principal,CH2,Alkenes,
